runtime,num of collisions,solution cost,initial collisions,initial solution cost,sum of distances,iterations,group size,runtime of initial solution,area under curve,LL expanded nodes,LL generated,LL reopened,LL runs,preprocessing runtime,solver name,instance name
0.561555,0,15817,25,15215,9857,23,-1,0.226585,3.87536,25384827,32347043,2735515,145505,0.110067,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-32-32-random-21.scen
0.551177,0,15817,25,15215,9857,23,-1,0.223768,3.78826,24204764,30733213,2499866,137802,0.105533,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-32-32-random-21.scen
0.555877,0,15817,25,15215,9857,23,-1,0.225783,3.8158,24902737,31975439,2441298,137802,0.107566,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-32-32-random-21.scen
0.786471,0,15817,25,15215,9857,23,-1,0.31081,6.06967,24025910,29305810,3071188,121308,0.107512,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-32-32-random-21.scen
0.567675,0,15817,25,15215,9857,23,-1,0.236195,3.88452,24066310,30718055,2396095,138453,0.108003,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-32-32-random-21.scen
0.554471,0,15817,25,15215,9857,23,-1,0.225279,3.78032,22345102,28109923,2361516,121138,0.108445,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-32-32-random-21.scen
0.555558,0,15817,25,15215,9857,23,-1,0.224831,3.82931,24762327,31758919,2510510,139708,0.107661,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-32-32-random-21.scen
0.552502,0,15817,25,15215,9857,23,-1,0.221814,3.81112,24099722,30135367,2652245,124014,0.110434,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-32-32-random-21.scen
0.544453,0,15817,25,15215,9857,23,-1,0.223283,3.72643,24402871,30657343,2799630,135149,0.108364,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-32-32-random-21.scen
0.551889,0,15817,25,15215,9857,23,-1,0.224791,3.78774,25144654,31287055,2838872,131636,0.110777,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-32-32-random-21.scen
0.541605,0,15817,25,15215,9857,23,-1,0.22161,3.66387,24748701,31410608,2571178,131560,0.108447,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-32-32-random-21.scen
0.559128,0,15817,25,15215,9857,23,-1,0.223673,3.89224,24641669,30648202,2990787,132075,0.108594,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-32-32-random-21.scen
0.547686,0,15817,25,15215,9857,23,-1,0.223638,3.76095,24815393,30827827,2904240,135344,0.110258,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-32-32-random-21.scen
