runtime,solution cost,initial solution cost,lower bound,sum of distance,iterations,group size,runtime of initial solution,runtime of initial solutions generation,runtime of best initial solution prediction,restart times,area under curve,LL expanded nodes,LL generated,LL reopened,LL runs,preprocessing runtime,solver name,instance name
60,64,69,61,61,476665,16,0.00014475,0.00503389,0.13563,0,180.062,40582019,88832295,24183,7158853,0.000236701,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-15.scen
60.0001,64,69,61,61,480426,16,0.000142766,0.00473137,0.134092,0,180.007,40905855,89537551,24639,7214772,0.000235949,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-15.scen
60,64,69,61,61,474293,16,0.000142736,0.00464976,0.132767,0,180.024,40375638,88392954,24073,7123315,0.000233354,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-15.scen
60.0001,64,69,61,61,462657,16,0.000145962,0.00492696,0.136625,0,180.065,39392146,86231494,23625,6947323,0.000239186,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-15.scen
60.0001,64,69,61,61,469322,16,0.000141403,0.00496059,0.135066,0,180.016,39960451,87459989,23753,7048429,0.000239787,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-15.scen
60.0001,64,69,61,61,445934,16,0.000146333,0.00488699,0.134789,0,180.008,37964485,83111221,22369,6697099,0.000232262,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-15.scen
60.0001,64,69,61,61,458982,16,0.00014513,0.00490021,0.13404,0,180.023,39074651,85543173,23292,6893577,0.000240107,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-15.scen
60.0002,64,69,61,61,457379,16,0.000188511,0.00485188,0.138227,0,180.005,38942862,85249351,23078,6867691,0.000244866,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-15.scen
60.0001,64,69,61,61,452407,16,0.000143678,0.00471716,0.133843,0,180.004,38512658,84305897,23006,6793565,0.00024713,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-15.scen
60.0001,64,69,61,61,463132,16,0.000142636,0.00453953,0.132316,0,180.023,39428461,86306475,23175,6954200,0.000208058,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-15.scen
60.0001,64,69,61,61,466959,16,0.000152634,0.00479269,0.133906,0,180.011,39744745,87017725,23657,7012305,0.000230569,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-15.scen
60.0001,64,69,61,61,449977,16,0.000144068,0.00497293,0.135123,0,180.003,38297372,83852969,22746,6757113,0.000308194,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-15.scen
