runtime,solution cost,initial solution cost,lower bound,sum of distance,iterations,group size,runtime of initial solution,runtime of initial solutions generation,runtime of best initial solution prediction,restart times,area under curve,LL expanded nodes,LL generated,LL reopened,LL runs,preprocessing runtime,solver name,instance name
60.0079,46531,53357,45198,45198,1883,7.82253,0.638352,22.0155,0.120798,0,165417,11074037,24317221,1458685,14982,1.02632,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/ost003d-random-22.scen
60.0032,46347,53357,45198,45198,1964,7.82832,0.643465,21.8065,0.118178,0,166262,11432965,24668550,1741826,15625,1.04251,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/ost003d-random-22.scen
60.0174,46338,53357,45198,45198,1807,7.93522,0.632464,21.2349,0.120939,0,159810,11835554,24788811,1954792,14602,1.00035,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/ost003d-random-22.scen
60.0085,46784,53357,45198,45198,2108,7.82629,0.682847,21.9741,0.122175,0,167558,10667183,25758105,601468,16764,1.01297,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/ost003d-random-22.scen
60.0246,46640,53357,45198,45198,2079,7.85467,0.594788,21.558,0.118905,0,149014,10446560,24993432,734822,16585,0.995327,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/ost003d-random-22.scen
60.0224,46645,53357,45198,45198,2027,7.7769,0.661374,22.8341,0.123883,0,163489,10580479,24140795,1127669,16039,1.02062,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/ost003d-random-22.scen
60.0088,46544,53357,45198,45198,1952,7.90364,0.675377,22.7082,0.120555,0,144824,10502017,24722352,777514,15686,1.00429,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/ost003d-random-22.scen
60.0165,46360,53357,45198,45198,2081,7.82163,0.67666,22.761,0.122931,0,161040,10735036,25107613,879141,16533,1.01749,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/ost003d-random-22.scen
60.011,46643,53357,45198,45198,1905,7.95063,0.68704,22.409,0.118914,0,166516,11483216,24274080,1787897,15403,1.0204,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/ost003d-random-22.scen
60.01,46244,53357,45198,45198,2101,7.82286,0.633459,21.9466,0.123007,0,137941,11709792,26147438,1355458,16692,1.04135,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/ost003d-random-22.scen
60.012,46668,53357,45198,45198,2202,7.94094,0.63183,21.1667,0.118692,0,147665,11609894,28013652,730991,17723,1.0369,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/ost003d-random-22.scen
60.0454,46282,53357,45198,45198,2033,7.8627,0.685767,22.7379,0.119643,0,162673,10743876,25015552,820944,16251,1.02316,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/ost003d-random-22.scen
60.0051,46250,53357,45198,45198,2131,7.84507,0.631076,21.0652,0.114486,0,143131,11579797,25995365,1323651,16966,1.01595,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/ost003d-random-22.scen
60.014,46662,53357,45198,45198,2025,7.85326,0.620319,22.2629,0.120816,0,148332,10741647,24541704,1101734,16157,1.00257,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/ost003d-random-22.scen
60.0134,46846,53357,45198,45198,1860,7.94244,0.657639,22.5214,0.121667,0,169362,11786318,23101918,2551709,15026,1.01037,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/ost003d-random-22.scen
60.0015,46543,53357,45198,45198,1974,7.89103,0.63729,22.7928,0.118359,0,156839,10930667,24955739,1036224,15833,1.01191,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/ost003d-random-22.scen
60.0469,46450,53357,45198,45198,2129,7.75611,0.627441,20.6564,0.121012,0,153005,12283483,25113639,2423551,16768,1.00595,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/ost003d-random-22.scen
60.0163,46500,53357,45198,45198,1999,7.98799,0.653041,21.6252,0.122903,0,138150,10428807,25049669,674992,16233,0.99851,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/ost003d-random-22.scen
60.0202,46499,53357,45198,45198,2035,7.82448,0.635276,22.6288,0.12201,0,154673,10237753,24306819,735470,16189,1.00095,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/ost003d-random-22.scen
60.0068,46919,53357,45198,45198,1898,7.99209,0.650736,22.7454,0.120834,0,184789,10916590,24769583,1115573,15430,1.00562,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/ost003d-random-22.scen
60.0193,46921,53357,45198,45198,1978,7.82044,0.651332,22.8764,0.11931,0,163017,10449149,24279707,922245,15721,1.00292,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/ost003d-random-22.scen
60.0135,46403,53357,45198,45198,1885,7.95064,0.66517,21.3243,0.122001,0,158187,12329565,24121707,2678479,15235,1.01214,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/ost003d-random-22.scen
60.0033,46537,53357,45198,45198,2099,7.81316,0.654825,22.6107,0.117067,0,153953,11631411,26105633,1355767,16668,1.03988,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/ost003d-random-22.scen
60.0036,46577,53357,45198,45198,2144,7.90807,0.669919,22.1232,0.117507,0,158285,11078001,26520366,632943,17212,0.992639,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/ost003d-random-22.scen
60.0179,46359,53357,45198,45198,2269,7.76102,0.640628,21.4565,0.119584,0,151526,11775369,25974928,1842966,17858,0.985514,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/ost003d-random-22.scen
60.025,46518,53357,45198,45198,1964,7.91798,0.668223,23.0879,0.122901,0,175947,12167297,25944232,1684413,15809,0.970443,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/ost003d-random-22.scen
60.0071,46493,53357,45198,45198,2220,7.863,0.653402,21.3049,0.119081,0,145639,11453123,26838367,902791,17709,1.0059,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/ost003d-random-22.scen
60.019,46542,53357,45198,45198,2218,7.89535,0.62566,21.0052,0.115908,0,162427,11709117,26468347,1390208,17774,1.02594,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/ost003d-random-22.scen
