runtime,num of collisions,solution cost,initial collisions,initial solution cost,sum of distances,iterations,group size,runtime of initial solution,area under curve,LL expanded nodes,LL generated,LL reopened,LL runs,preprocessing runtime,solver name,instance name
1.18871,0,96069,1,95933,73922,2,-1,1.15584,0.0328674,400192,995878,63086,509,1.53571,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/ost003d-random-9.scen
1.58016,0,96069,1,95933,73922,2,-1,1.53357,0.0465975,400192,995878,63086,509,1.64605,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/ost003d-random-9.scen
1.45642,0,96069,1,95933,73922,2,-1,1.41343,0.0429916,400192,995878,63086,509,1.69832,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/ost003d-random-9.scen
1.6679,0,96069,1,95933,73922,2,-1,1.62045,0.0474542,400192,995878,63086,509,1.66059,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/ost003d-random-9.scen
1.54024,0,96069,1,95933,73922,2,-1,1.49502,0.0452183,400192,995878,63086,509,1.67,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/ost003d-random-9.scen
1.50502,0,96069,1,95933,73922,2,-1,1.46088,0.0441406,400192,995878,63086,509,1.69423,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/ost003d-random-9.scen
1.3717,0,96069,1,95933,73922,2,-1,1.32838,0.0433234,400192,995878,63086,509,1.6817,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/ost003d-random-9.scen
1.5228,0,96069,1,95933,73922,2,-1,1.47784,0.0449586,400192,995878,63086,509,1.70648,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/ost003d-random-9.scen
1.55109,0,96069,1,95933,73922,2,-1,1.5058,0.0452873,400192,995878,63086,509,1.67153,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/ost003d-random-9.scen
1.51817,0,96069,1,95933,73922,2,-1,1.47411,0.0440623,400192,995878,63086,509,1.65822,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/ost003d-random-9.scen
1.6131,0,96069,1,95933,73922,2,-1,1.56183,0.051275,400192,995878,63086,509,1.68493,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/ost003d-random-9.scen
1.54776,0,96069,1,95933,73922,2,-1,1.50354,0.0442218,400192,995878,63086,509,1.71039,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/ost003d-random-9.scen
1.54662,0,96069,1,95933,73922,2,-1,1.50177,0.0448502,400192,995878,63086,509,1.66085,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/ost003d-random-9.scen
1.62515,0,96069,1,95933,73922,2,-1,1.57977,0.0453815,400192,995878,63086,509,1.73621,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/ost003d-random-9.scen
1.60842,0,96069,1,95933,73922,2,-1,1.56402,0.0443935,400192,995878,63086,509,1.68855,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/ost003d-random-9.scen
1.49549,0,96069,1,95933,73922,2,-1,1.4501,0.0453939,400192,995878,63086,509,1.6581,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/ost003d-random-9.scen
1.5176,0,96069,1,95933,73922,2,-1,1.47228,0.0453234,400192,995878,63086,509,1.66269,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/ost003d-random-9.scen
1.57157,0,96069,1,95933,73922,2,-1,1.52702,0.0445541,400192,995878,63086,509,1.67203,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/ost003d-random-9.scen
1.49253,0,96069,1,95933,73922,2,-1,1.44799,0.0445426,400192,995878,63086,509,1.72962,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/ost003d-random-9.scen
1.62361,0,96069,1,95933,73922,2,-1,1.57701,0.0466019,400192,995878,63086,509,1.66295,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/ost003d-random-9.scen
1.59601,0,96069,1,95933,73922,2,-1,1.55338,0.0426331,400192,995878,63086,509,1.71816,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/ost003d-random-9.scen
1.28475,0,96069,1,95933,73922,2,-1,1.23983,0.0449247,400192,995878,63086,509,1.68617,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/ost003d-random-9.scen
1.48333,0,96069,1,95933,73922,2,-1,1.44044,0.0428902,400192,995878,63086,509,1.72218,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/ost003d-random-9.scen
1.51003,0,96069,1,95933,73922,2,-1,1.46597,0.044059,400192,995878,63086,509,1.68131,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/ost003d-random-9.scen
1.51653,0,96069,1,95933,73922,2,-1,1.47306,0.0434692,400192,995878,63086,509,1.65445,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/ost003d-random-9.scen
1.35005,0,96069,1,95933,73922,2,-1,1.30766,0.042395,400192,995878,63086,509,1.66626,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/ost003d-random-9.scen
1.24716,0,96069,1,95933,73922,2,-1,1.20398,0.0431807,400192,995878,63086,509,1.73327,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/ost003d-random-9.scen
1.50335,0,96069,1,95933,73922,2,-1,1.45845,0.0448971,400192,995878,63086,509,1.74456,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/ost003d-random-9.scen
2.48018,0,96069,1,95933,73922,2,-1,2.42079,0.0593884,400192,995878,63086,509,1.71453,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/ost003d-random-9.scen
