runtime,solution cost,initial solution cost,lower bound,sum of distance,iterations,group size,runtime of initial solution,runtime of initial solutions generation,runtime of best initial solution prediction,restart times,area under curve,LL expanded nodes,LL generated,LL reopened,LL runs,preprocessing runtime,solver name,instance name
60.0002,2310,2526,2229,2229,54889,12.7529,0.00848651,0.32489,0.0859631,0,4954.04,28083170,59856726,413880,691555,0.0199098,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-21.scen
60.0011,2305,2526,2229,2229,54219,12.9891,0.00866002,0.319966,0.0903426,0,4652,27882878,60113314,485699,693168,0.0189081,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-21.scen
60.0004,2310,2526,2229,2229,54125,12.7091,0.00823808,0.324617,0.0887488,0,4953.09,28058436,60144353,377965,675483,0.0351597,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-21.scen
60.0011,2308,2526,2229,2229,57211,12.1755,0.00838155,0.318852,0.086318,0,4842.17,27618870,60091149,446519,688790,0.018943,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-21.scen
60.0003,2308,2526,2229,2229,47952,13.6225,0.00847379,0.323008,0.0896499,0,4782.49,26954766,57790723,478683,645688,0.0191352,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-21.scen
60.0008,2308,2526,2229,2229,57956,11.5899,0.00868573,0.334422,0.0874821,0,4825.72,28038455,58859730,606731,663803,0.0188781,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-21.scen
60.0005,2313,2526,2229,2229,52738,13.03,0.00847038,0.321712,0.0889329,0,5080.28,27832074,59550750,434606,678015,0.0189749,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-21.scen
60.0005,2304,2526,2229,2229,56740,12.0074,0.00845237,0.322034,0.0862853,0,4617.86,27399892,58836196,484383,672616,0.018914,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-21.scen
60.0003,2306,2526,2229,2229,52743,12.444,0.00866399,0.322217,0.0890514,0,4926.58,27914915,59290163,488496,649994,0.0190149,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-21.scen
60.0013,2316,2526,2229,2229,50503,13.1813,0.00836715,0.339441,0.0863336,0,5308.83,27831415,59309634,402740,657519,0.0188982,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-21.scen
60.0009,2312,2526,2229,2229,55463,12.7425,0.00846891,0.321684,0.0878361,0,5007.67,28016175,59657934,368924,697142,0.0190231,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-21.scen
60.0004,2316,2526,2229,2229,57012,11.662,0.00854012,0.332755,0.0875711,0,5281.33,27795040,58944438,713495,657882,0.0189893,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-21.scen
60.001,2305,2526,2229,2229,49139,13.76,0.00851869,0.32377,0.088783,0,4596.83,27630580,59599768,516170,667751,0.018833,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-21.scen
60.0001,2303,2526,2229,2229,54620,12.6294,0.00847815,0.320081,0.0858872,0,4531.16,27865974,59719088,579545,682290,0.0189071,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-21.scen
60.0006,2312,2526,2229,2229,54616,12.5082,0.00845944,0.321644,0.0870551,0,5031.11,28101270,59671238,379128,669838,0.0190943,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-21.scen
60.0009,2311,2526,2229,2229,53635,12.6924,0.00906577,0.319165,0.0837427,0,4954.6,28205559,59247483,354328,668629,0.0187977,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-21.scen
60.0011,2309,2526,2229,2229,57986,11.7055,0.00856799,0.319978,0.0860879,0,4933.33,27918677,59356033,487931,670557,0.0189002,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-21.scen
60.0005,2311,2526,2229,2229,49120,14.0917,0.00845987,0.321687,0.0831818,0,4984.76,27604067,59793540,475299,681645,0.0188913,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-21.scen
60.0001,2315,2526,2229,2229,55167,12.5209,0.00841252,0.321252,0.0885932,0,5211.94,28011659,59683119,471396,681869,0.0190072,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-21.scen
60.0005,2306,2526,2229,2229,55311,12.4615,0.00829606,0.321328,0.0849205,0,4657.61,27527649,59372447,499261,678609,0.0190141,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-21.scen
60.0016,2304,2526,2229,2229,56107,12.6743,0.00876665,0.335472,0.0863464,0,4576.38,27881199,60226116,551126,703403,0.0309994,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-21.scen
60,2305,2526,2229,2229,48223,13.9684,0.00912644,0.318954,0.0875672,0,4601.28,28101816,59773754,583448,665480,0.0189508,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-21.scen
60.0004,2310,2526,2229,2229,54629,12.7968,0.00891955,0.318397,0.0871643,0,4913.01,27702305,59991098,399893,688096,0.0189523,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-21.scen
60.0003,2308,2526,2229,2229,52482,13.8301,0.00845951,0.320861,0.0875911,0,4791.26,28634771,62542804,339482,715895,0.0188809,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-21.scen
60.0009,2310,2526,2229,2229,54742,12.9699,0.00844668,0.300531,0.079594,0,4933.29,27893572,60426986,396789,698104,0.0166251,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-21.scen
60.0009,2311,2526,2229,2229,50809,13.5011,0.00881205,0.321439,0.080905,0,5020.57,28936392,62355207,514693,678270,0.0191416,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-21.scen
60.0016,2305,2526,2229,2229,58937,12.052,0.00844405,0.2988,0.0779768,0,4708,27778528,59814450,419502,702224,0.0167202,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-21.scen
60,2304,2526,2229,2229,56572,12.0803,0.008562,0.324295,0.088137,0,4674.57,27767353,60146488,514905,676134,0.0189874,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-21.scen
