runtime,num of collisions,solution cost,initial collisions,initial solution cost,sum of distances,iterations,group size,runtime of initial solution,area under curve,LL expanded nodes,LL generated,LL reopened,LL runs,preprocessing runtime,solver name,instance name
0.636609,0,8523,35,8123,5314,46,-1,0.201622,5.92631,28431661,36739077,2262919,211483,0.0474323,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-10.scen
0.359621,0,9067,12,8756,5314,21,-1,0.167363,1.23217,30134998,35931473,3828599,182906,0.0478378,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-10.scen
0.356795,0,9067,12,8756,5314,21,-1,0.166585,1.22015,29624301,35851323,3308486,184236,0.0470671,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-10.scen
0.333378,0,9067,12,8756,5314,21,-1,0.153513,1.14985,30239106,36969486,3362600,187816,0.0476725,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-10.scen
0.397197,0,9067,12,8756,5314,21,-1,0.180695,1.39342,27138341,33809589,2940917,181292,0.0472544,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-10.scen
0.361031,0,9067,12,8756,5314,21,-1,0.169306,1.22932,29107487,34811021,3660231,176818,0.0422752,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-10.scen
0.373707,0,9067,12,8756,5314,21,-1,0.168231,1.32053,27930764,34931778,2793710,186688,0.0475467,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-10.scen
0.352582,0,9067,12,8756,5314,21,-1,0.164089,1.20854,28570742,34800141,2819653,168303,0.0472881,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-10.scen
0.620558,0,8523,35,8123,5314,46,-1,0.197103,5.77905,28657440,36490978,1990413,196218,0.0508295,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-10.scen
0.633096,0,8523,35,8123,5314,46,-1,0.197642,5.93947,27961312,36279914,2147240,209982,0.0504409,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-10.scen
0.359088,0,9067,12,8756,5314,21,-1,0.162279,1.25836,28884016,35147803,3479891,185953,0.0475471,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-10.scen
0.367396,0,9067,12,8756,5314,21,-1,0.169441,1.26988,27705534,34017465,2939762,179050,0.0477684,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-10.scen
0.381095,0,9067,12,8756,5314,21,-1,0.174147,1.33278,27764039,34212378,2808975,174959,0.0482533,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-10.scen
0.629799,0,8523,35,8123,5314,46,-1,0.201099,5.85751,27390652,35113435,2180117,200638,0.0448856,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-10.scen
0.384788,0,9067,12,8756,5314,21,-1,0.173388,1.35886,26836759,32809770,3097803,171479,0.047822,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-10.scen
0.385746,0,9067,12,8756,5314,21,-1,0.174176,1.36472,27591907,34241235,2916752,176815,0.0512044,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-10.scen
0.385052,0,9067,12,8756,5314,21,-1,0.177337,1.33664,25454671,31791039,2438956,163545,0.0479619,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-10.scen
0.35065,0,9067,12,8756,5314,21,-1,0.162825,1.20394,27709074,33523101,3394106,172139,0.0505751,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-10.scen
0.355056,0,9067,12,8756,5314,21,-1,0.164618,1.21914,27868378,33809041,2987494,162858,0.0504577,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-10.scen
0.659751,0,8523,35,8123,5314,46,-1,0.205974,6.2516,27148370,35147469,1881908,198067,0.0506936,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-10.scen
0.381561,0,9067,12,8756,5314,21,-1,0.175335,1.32053,26637132,33110228,2698356,170437,0.0505978,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-10.scen
0.391963,0,9067,12,8756,5314,21,-1,0.180445,1.34408,26956327,32843892,2812081,162925,0.0505259,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-10.scen
0.385819,0,9067,12,8756,5314,21,-1,0.180218,1.3298,27697422,33723012,3223160,170924,0.0505132,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-10.scen
0.378248,0,9067,12,8756,5314,21,-1,0.177328,1.28517,28674100,33798699,4058140,171672,0.0498935,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-10.scen
0.384839,0,9067,12,8756,5314,21,-1,0.17823,1.32445,26219879,32646800,2751075,170533,0.050678,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-10.scen
0.366173,0,9067,12,8756,5314,21,-1,0.169986,1.25805,26524617,32465465,3001513,168104,0.0501314,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-10.scen
0.385633,0,9067,12,8756,5314,21,-1,0.176069,1.34326,26649588,33217257,2778019,184552,0.0498709,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-10.scen
0.396315,0,9067,12,8756,5314,21,-1,0.179073,1.38775,25542121,32082276,2572417,174670,0.050816,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-10.scen
0.392044,0,9067,12,8756,5314,21,-1,0.179633,1.35968,26015726,31847006,3074996,157562,0.0478906,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-10.scen
0.389027,0,9067,12,8756,5314,21,-1,0.178608,1.34622,27681767,33751453,2981717,162076,0.0506819,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-10.scen
0.393492,0,9067,12,8756,5314,21,-1,0.179306,1.37115,26748228,32697423,3104573,175953,0.0496584,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-10.scen
0.696015,0,8523,35,8123,5314,46,-1,0.215028,6.50138,26100549,33892947,2036125,187947,0.0507157,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-10.scen
0.397149,0,9067,12,8756,5314,21,-1,0.181165,1.38065,27559323,33606826,3174572,175726,0.0479148,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-10.scen
0.665909,0,8523,35,8123,5314,46,-1,0.208937,6.22692,27268254,35042800,2159192,197100,0.0502988,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-10.scen
0.369915,0,9067,12,8756,5314,21,-1,0.172827,1.26207,26820779,32615741,3237723,169747,0.0509449,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-10.scen
0.374099,0,9067,12,8756,5314,21,-1,0.16758,1.31375,27356735,33296777,3024710,159311,0.0502192,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-10.scen
0.35215,0,9067,12,8756,5314,21,-1,0.160042,1.2287,26650537,33161001,2683052,168094,0.0501876,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-10.scen
0.399501,0,9067,12,8756,5314,21,-1,0.183128,1.3831,27777825,33575351,3263092,175585,0.0509016,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-10.scen
0.388029,0,9067,12,8756,5314,21,-1,0.178226,1.33994,27030306,33065483,3065719,172472,0.0500372,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-10.scen
0.648459,0,8523,35,8123,5314,46,-1,0.206335,5.99424,27375584,35356234,2071022,195567,0.0502805,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-10.scen
0.389402,0,9067,12,8756,5314,21,-1,0.17817,1.35341,27337289,33303894,2797188,167684,0.0464906,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-10.scen
0.394647,0,9067,12,8756,5314,21,-1,0.182577,1.35889,26558366,32507969,3146263,164814,0.0507521,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-10.scen
0.393852,0,9067,12,8756,5314,21,-1,0.181703,1.35731,26766148,33241549,2624614,176163,0.0474201,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-10.scen
0.688044,0,8523,35,8123,5314,46,-1,0.215134,6.41472,26162180,33713989,2124595,199235,0.0510831,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-10.scen
0.386183,0,9067,12,8756,5314,21,-1,0.176488,1.34018,27077747,31963710,4017770,158297,0.0507105,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-10.scen
0.386015,0,9067,12,8756,5314,21,-1,0.178334,1.33152,27375219,33802416,2995186,180787,0.0512958,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-10.scen
0.391104,0,9067,12,8756,5314,21,-1,0.178738,1.35758,26941564,32253523,3287987,158817,0.0742871,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-10.scen
0.393492,0,9067,12,8756,5314,21,-1,0.180084,1.36846,25894117,31917789,2804374,164130,0.0503435,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-10.scen
0.36237,0,9067,12,8756,5314,21,-1,0.17157,1.2374,27427019,33284998,3119118,161283,0.051374,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-10.scen
0.389534,0,9067,12,8756,5314,21,-1,0.178401,1.34912,26214862,32011349,2836594,159201,0.0506063,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-10.scen
0.387811,0,9067,12,8756,5314,21,-1,0.178342,1.34372,27491964,33012433,3348922,166038,0.0510278,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-10.scen
0.69504,0,8523,35,8123,5314,46,-1,0.215304,6.51247,26595600,33740146,2019413,186972,0.0497254,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-10.scen
