runtime,solution cost,initial solution cost,lower bound,sum of distance,iterations,group size,runtime of initial solution,runtime of initial solutions generation,runtime of best initial solution prediction,restart times,area under curve,LL expanded nodes,LL generated,LL reopened,LL runs,preprocessing runtime,solver name,instance name
60.007,12657,15185,12569,12569,8339,12.4719,0.182199,4.80593,0.0455455,0,7914.8,25617725,37021296,1551599,103195,0.223465,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-1.scen
60.0037,12655,15185,12569,12569,8950,11.7703,0.2058,4.15953,0.0467466,0,8288.85,24423370,35270682,1513321,104513,0.198159,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-1.scen
60.0139,12658,14435,12569,12569,7986,12.4844,0.175037,4.74203,0.0458098,0,6670.52,24485553,35426395,1429464,99008,0.199657,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-1.scen
60.0043,12657,15185,12569,12569,8731,12.1354,0.215714,4.51539,0.04665,0,7837.26,24058210,35329463,1311328,105266,0.192405,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-1.scen
60.0001,12654,15185,12569,12569,9175,10.8652,0.207699,4.83842,0.0477423,0,8880.72,24789048,35325266,1687891,98954,0.190421,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-1.scen
60.0002,12659,15185,12569,12569,8303,12.589,0.198882,4.5051,0.0419439,0,9026.75,25125345,35578545,1737495,103620,0.196555,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-1.scen
60.0035,12679,15185,12569,12569,8307,12.8788,0.381862,4.6345,0.0470851,0,9268.21,24657387,35515781,1400928,105889,0.156448,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-1.scen
60.0024,12672,15185,12569,12569,9411,10.8876,0.203016,4.51058,0.045505,0,8923.81,24484369,35648464,1298271,101766,0.248736,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-1.scen
60,12659,14435,12569,12569,9230,11.9344,0.174596,4.6136,0.0453826,0,6995.35,24659604,35863642,1494554,109257,0.194539,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-1.scen
60.0116,12662,14435,12569,12569,8557,13.0628,0.180735,4.9187,0.0451783,0,6915.38,25948830,37026706,1680626,110844,0.194415,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-1.scen
60.0002,12656,14435,12569,12569,10722,9.74545,0.167735,4.43324,0.0454853,0,6588.97,25875694,37431591,1238143,103866,0.194984,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-1.scen
60.0101,12661,15185,12569,12569,9420,11.6088,0.223656,4.86965,0.0514264,0,9593.77,25088925,35851062,1822181,108563,0.189844,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-1.scen
60.0001,12653,15185,12569,12569,10309,10.1537,0.21546,4.58412,0.0462227,0,8696.68,24904483,36264138,1316682,104023,0.186869,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-1.scen
60.0044,12693,14435,12569,12569,9288,11.8066,0.17318,4.53996,0.0449882,0,8835.53,25780276,37387652,1368465,108702,0.188095,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-1.scen
60.0094,12655,14435,12569,12569,9357,11.1682,0.166673,4.47527,0.045186,0,6743.47,25836605,36960650,1511446,103653,0.188036,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-1.scen
60.0004,12660,15185,12569,12569,8495,13.4462,0.219308,4.85983,0.0446276,0,8795.06,25112176,36558924,1300248,113237,0.310323,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-1.scen
60.0023,12681,15185,12569,12569,8348,12.4648,0.18462,4.24444,0.0430712,0,9883.88,25039548,35785098,1856124,103286,0.18841,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-1.scen
60.0026,12657,15185,12569,12569,9139,11.6636,0.225275,5.05981,0.0489215,0,9096.19,26481297,36158974,2882364,105916,0.201141,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-1.scen
60.0019,12673,15185,12569,12569,8787,12.4309,0.202439,4.77374,0.0452434,0,9621.35,24621534,35497006,1550175,108324,0.189501,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-1.scen
60.0011,12681,15185,12569,12569,9071,12.3448,0.204932,4.82222,0.0470755,0,9632.64,26880032,37989953,2198134,111210,0.197993,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-1.scen
60.003,12650,15185,12569,12569,8899,12.0683,0.213047,4.47579,0.0463323,0,6968.28,24718589,36132791,1305030,106488,0.194617,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-1.scen
60.0064,12653,14435,12569,12569,8262,12.5446,0.169966,4.40003,0.0463934,0,6669.65,26505946,38254541,1550350,102844,0.199366,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-1.scen
60.0025,12661,14435,12569,12569,8848,12.0979,0.191741,4.41639,0.0456774,0,8230.74,24599676,35264263,1586302,106142,0.191712,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-1.scen
60.0098,12675,15185,12569,12569,9166,11.7763,0.201307,5.2099,0.0472095,0,8996.2,25566711,37021884,1366162,107139,0.194311,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-1.scen
60.0018,12679,15185,12569,12569,8571,12.4681,0.223776,4.5892,0.0458363,0,9066.29,24765399,36335323,1387640,106175,0.188246,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-1.scen
60.0061,12660,14435,12569,12569,9657,11.8407,0.261302,4.31578,0.0886042,0,6864.57,26117122,37940577,1465778,113444,0.18808,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-1.scen
60.0038,12660,14435,12569,12569,8815,11.9036,0.183426,5.21781,0.0476242,0,7581.97,25434050,36478815,1651252,104012,0.193961,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-1.scen
60.0057,12704,14435,12569,12569,8773,12.0041,0.176372,4.53763,0.0474091,0,9335.78,25329702,36883362,1230810,104480,0.194685,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-1.scen
60.004,12672,15185,12569,12569,10429,10.8755,0.205487,4.54433,0.0452745,0,8847.49,25594848,37377368,1360939,112634,0.194295,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-1.scen
60.003,12655,14435,12569,12569,8746,11.9114,0.179755,4.58367,0.0467752,0,6734,25502737,35877026,2111332,103387,0.195416,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-1.scen
