runtime,num of collisions,solution cost,initial collisions,initial solution cost,sum of distances,iterations,group size,runtime of initial solution,area under curve,LL expanded nodes,LL generated,LL reopened,LL runs,preprocessing runtime,solver name,instance name
0.266375,0,23644,3,23734,20127,4,-1,0.233121,0.060812,24973729,28828651,6402383,73062,0.337353,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-25.scen
0.265663,0,23644,3,23734,20127,4,-1,0.232104,0.0620574,24112838,30410454,4532531,76242,0.333753,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-25.scen
0.355623,0,23644,3,23734,20127,4,-1,0.322781,0.0601428,23231743,31007498,3463725,75982,0.33438,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-25.scen
0.27636,0,23644,3,23734,20127,4,-1,0.24293,0.0614122,25371855,29271787,6472530,70487,0.334261,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-25.scen
0.247743,0,23644,3,23734,20127,4,-1,0.214859,0.0605088,23376936,30149741,3785945,67480,0.333539,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-25.scen
0.267565,0,23644,3,23734,20127,4,-1,0.234324,0.0608726,23597816,28575202,5033309,67028,0.326564,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-25.scen
0.258625,0,23644,3,23734,20127,4,-1,0.225547,0.0605263,24483934,29335660,5336070,69130,0.332285,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-25.scen
0.341623,0,23644,3,23734,20127,4,-1,0.303423,0.0692576,23136892,31092946,2982076,71375,0.339022,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-25.scen
0.288124,0,23644,3,23734,20127,4,-1,0.252782,0.0648207,21251460,28576312,2723086,62350,0.33221,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-25.scen
0.255352,0,23644,3,23734,20127,4,-1,0.22187,0.0619061,24247655,30597815,4598682,78627,0.335264,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-25.scen
