runtime,solution cost,initial solution cost,lower bound,sum of distance,iterations,group size,runtime of initial solution,runtime of initial solutions generation,runtime of best initial solution prediction,restart times,area under curve,LL expanded nodes,LL generated,LL reopened,LL runs,preprocessing runtime,solver name,instance name
60.0148,29080,36283,27826,27826,3586,13.8187,0.813684,31.652,0.0456397,0,124583,23875683,28015689,5582820,49152,0.467561,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-16.scen
60.0195,29018,37303,27826,27826,4237,11.6686,1.4619,30.9667,0.0452173,0,117580,22988967,27095243,5659225,49276,0.446745,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-16.scen
60.0113,29243,37303,27826,27826,3358,14.7962,1.47236,30.1998,0.0448788,0,136790,23628374,27311939,6188752,49499,0.460671,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-16.scen
60.006,29011,36283,27826,27826,3243,14.2486,0.77248,30.3746,0.0454807,0,120838,23820022,26356284,6828023,46013,0.453921,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-16.scen
60.0355,28989,37303,27826,27826,3672,12.8036,1.42588,30.6665,0.0454904,0,135373,23479948,26499061,6532474,46768,0.451704,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-16.scen
60.0165,29174,37303,27826,27826,3470,12.8167,1.44234,31.5322,0.0434598,0,147755,24325891,25085922,7956664,44333,0.456221,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-16.scen
60.0134,29133,36283,27826,27826,3541,14.4893,0.854349,31.9879,0.0458484,0,132384,23309241,26570648,6228143,50915,0.455063,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-16.scen
60.0083,29256,36283,27826,27826,3801,13.0834,0.8303,31.3436,0.0437124,0,127189,24038855,26695558,7054353,49604,0.452001,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-16.scen
60.0118,28987,37303,27826,27826,3680,12.8377,1.45774,31.531,0.045521,0,129611,23523581,26579946,6528970,47075,0.44784,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-16.scen
60.0056,29144,37303,27826,27826,3644,13.3385,1.44552,31.623,0.044637,0,127723,24258483,26895508,7055125,48529,0.459253,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-16.scen
60.0044,29416,37303,27826,27826,3438,14.0562,1.34716,31.6587,0.0445389,0,133055,23492347,26884663,6525104,48121,0.463364,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-16.scen
60.0031,29074,37303,27826,27826,3483,14.3105,1.40564,30.9988,0.0447702,0,127956,22852203,27061531,5503496,49511,0.453275,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-16.scen
60.0016,29166,36283,27826,27826,3397,14.2786,0.819789,31.1614,0.0456165,0,122367,23669453,25977649,7062498,48160,0.459792,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-16.scen
60.0181,29226,37303,27826,27826,3520,13.2549,1.46226,31.9967,0.0461548,0,142094,23895506,25825750,7307673,46473,0.460323,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-16.scen
60.0199,29079,37303,27826,27826,4359,12.2575,1.40427,29.4045,0.0475471,0,134298,26041617,28166994,8100512,53281,0.455369,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-16.scen
60.0124,29115,37303,27826,27826,3952,13.1559,1.43969,30.9699,0.0444499,0,126340,23871018,27321124,6235253,51705,0.459343,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-16.scen
60.0129,29007,37303,27826,27826,4220,12.3965,1.4052,31.3142,0.044054,0,121232,22279138,27360440,5044707,52118,0.453092,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-16.scen
60.0058,29250,37303,27826,27826,3718,12.9451,1.26386,30.5885,0.0450909,0,138525,25786952,27179252,8037411,47802,0.457598,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-16.scen
60.006,28946,36283,27826,27826,3548,14.0375,0.826282,31.1582,0.0456685,0,106090,23773512,28337165,5524564,49540,0.444543,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-16.scen
60.0035,29014,37303,27826,27826,4008,13.1517,1.45568,30.2136,0.0456623,0,131830,24474681,28027497,6557885,52437,0.445828,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-16.scen
60.0188,29146,36283,27826,27826,4332,12.7763,0.858513,31.2356,0.0446489,0,116100,24567890,28866157,6112519,55091,0.441127,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-16.scen
60.0029,29038,37303,27826,27826,4195,12.4325,1.48064,28.4677,0.0455913,0,128191,23928967,28237753,6023508,51886,0.458412,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-16.scen
